year,month.x,day,date.x,weekday.x,month.y,date.y,weekday.y,month,births
1994,1,25,1994-01-25,Tues,7,1994-07-25,Mon,births.x,11981
1994,1,21,1994-01-21,Fri,7,1994-07-21,Thurs,births.x,11811
1994,1,11,1994-01-11,Tues,7,1994-07-11,Mon,births.x,11706
1994,1,27,1994-01-27,Thurs,7,1994-07-27,Wed,births.x,11702
1994,1,20,1994-01-20,Thurs,7,1994-07-20,Wed,births.x,11682
1994,1,28,1994-01-28,Fri,7,1994-07-28,Thurs,births.x,11666
1994,1,14,1994-01-14,Fri,7,1994-07-14,Thurs,births.x,11570
1994,1,12,1994-01-12,Wed,7,1994-07-12,Tues,births.x,11567
1994,1,18,1994-01-18,Tues,7,1994-07-18,Mon,births.x,11541
1994,1,26,1994-01-26,Wed,7,1994-07-26,Tues,births.x,11514
1994,1,6,1994-01-06,Thurs,7,1994-07-06,Wed,births.x,11406
1994,1,19,1994-01-19,Wed,7,1994-07-19,Tues,births.x,11257
1994,1,7,1994-01-07,Fri,7,1994-07-07,Thurs,births.x,11251
1994,1,4,1994-01-04,Tues,7,1994-07-04,Mon,births.x,11248
1994,1,13,1994-01-13,Thurs,7,1994-07-13,Wed,births.x,11212
1994,1,24,1994-01-24,Mon,7,1994-07-24,Sun,births.x,11125
1994,1,5,1994-01-05,Wed,7,1994-07-05,Tues,births.x,11053
1994,1,31,1994-01-31,Mon,7,1994-07-31,Sun,births.x,10765
1994,1,17,1994-01-17,Mon,7,1994-07-17,Sun,births.x,10567
1994,1,10,1994-01-10,Mon,7,1994-07-10,Sun,births.x,10498
1994,1,3,1994-01-03,Mon,7,1994-07-03,Sun,births.x,10142
1994,1,29,1994-01-29,Sat,7,1994-07-29,Fri,births.x,8988
1994,1,22,1994-01-22,Sat,7,1994-07-22,Fri,births.x,8833
1994,1,15,1994-01-15,Sat,7,1994-07-15,Fri,births.x,8660
1994,1,8,1994-01-08,Sat,7,1994-07-08,Fri,births.x,8653
1994,1,23,1994-01-23,Sun,7,1994-07-23,Sat,births.x,8310
1994,1,16,1994-01-16,Sun,7,1994-07-16,Sat,births.x,8123
1994,1,1,1994-01-01,Sat,7,1994-07-01,Fri,births.x,8096
1994,1,30,1994-01-30,Sun,7,1994-07-30,Sat,births.x,8096
1994,1,9,1994-01-09,Sun,7,1994-07-09,Sat,births.x,7910
1994,1,2,1994-01-02,Sun,7,1994-07-02,Sat,births.x,7772
1995,1,10,1995-01-10,Tues,7,1995-07-10,Mon,births.x,11665
1995,1,6,1995-01-06,Fri,7,1995-07-06,Thurs,births.x,11506
1995,1,20,1995-01-20,Fri,7,1995-07-20,Thurs,births.x,11481
1995,1,12,1995-01-12,Thurs,7,1995-07-12,Wed,births.x,11416
1995,1,26,1995-01-26,Thurs,7,1995-07-26,Wed,births.x,11380
1995,1,31,1995-01-31,Tues,7,1995-07-31,Mon,births.x,11364
1995,1,17,1995-01-17,Tues,7,1995-07-17,Mon,births.x,11345
1995,1,24,1995-01-24,Tues,7,1995-07-24,Mon,births.x,11344
1995,1,27,1995-01-27,Fri,7,1995-07-27,Thurs,births.x,11340
1995,1,19,1995-01-19,Thurs,7,1995-07-19,Wed,births.x,11331
1995,1,4,1995-01-04,Wed,7,1995-07-04,Tues,births.x,11315
1995,1,11,1995-01-11,Wed,7,1995-07-11,Tues,births.x,11279
1995,1,18,1995-01-18,Wed,7,1995-07-18,Tues,births.x,11252
